Country,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$
AT,4.428840101915047,0.27933815343056156,1.0318872162646373,0.14293896541776255,1.0304104923344843,2.637007018130478e-05,0.017166915688029416,0.0,0.0
BE,3.6124968104854847,0.6172676219213868,0.6642734578551012,0.0,0.0,0.0,0.00010534176379567442,0.0,0.0
BG,0.41985748855600263,14.998552561684763,0.0,2.6471057055569185,0.0,0.0,0.26583880957533645,0.0,0.11852532334487134
HR,0.1405283419197001,3.511986100237527,0.0,0.11198684433616038,0.0,0.0,0.0,0.0,0.0
CY,1.962644049816643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,3.0997601238679975,1.4422990885279652,1.0386758207579112,0.15463814209457463,0.0,0.0,0.11233232472256047,0.0,0.0
DK,0.0,0.0,0.6660385254945492,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.4725841708961838,0.32448458879520053,0.6499845518065683,0.006237298756456692,0.0,0.0,0.2869157427970079,0.0,0.0
FI,1.5836709081754259,0.0,1.9083500117655692,0.13053456167561947,0.0,0.0012145103625566455,0.0,0.0,0.0
FR,4.90195605223309,0.3064580549226176,0.9666493624227352,0.07471474981073305,0.0,0.0,0.0,0.0,0.0
DE,3.625127461576823,1.100687639682284,1.4715343507755332,0.27570830740579627,0.48911887348487126,0.012835723125112653,0.0032522207452991276,0.019194869564054338,0.08809258885369609
EL,1.9211209679023276,0.7114434863798927,0.0,0.21806602386731397,0.0,0.0,0.0,0.0,0.0
HU,3.0232755574171497,0.7463510957069278,1.4459066144397341,0.02362793066890058,0.0,0.0,0.0,0.0,0.0
IS,0.0,0.0,0.0,0.0,0.0,0.19738400400031583,0.0,0.0,0.0
IE,1.6041300340924638,0.013735131719913194,0.8043986559306833,0.0,0.0625148519446146,0.0,0.0,0.0,0.0
IT,3.629156371750557,3.7312516153447564,0.3415222413128616,1.9450352397275823,0.0,6.713847671692178e-05,0.01467255459917728,0.0,0.0
LV,1.8541723598241122,2.3778600352768735,0.8268700469530221,0.0,0.0,0.0,0.5724790698829901,0.0,0.0
LT,2.4573098998253187,12.410894442265871,0.7356600477701329,0.17168728387579765,0.0,0.0,0.23906456097821827,0.0,0.0
LU,1.9094332080088017,0.0687079481909683,0.03308160468454029,0.0,0.0,0.0,0.0,0.0,0.016841544203038693
MT,0.0,0.0,0.0,0.0,0.31915400371552427,0.0,0.0,0.0,0.0
NL,0.8520625068708177,3.093237673527572,1.2086872367688324,0.08348606823420433,0.0,0.0,0.007749381401124201,0.0,0.0
NO,3.2926288662840526,0.0650759219088937,0.1324274323677351,0.13358000319173458,0.0,0.0,0.007624699297227329,0.0,0.0
PL,2.9357786086204687,11.014942002399602,1.0244928146655639,0.0,1.2785127741359126,0.0,0.011946064665533744,0.0,0.0
PT,4.958163609137591,0.5181493763733511,0.0,0.20379913328450308,0.0,0.0,0.0,0.0,0.06901719770662551
RO,1.4855123671785437,0.4322966397645228,1.0412498802862336,0.0,0.040807741128961086,0.0,0.0,0.0,0.0
RS,0.0,15.447394653292482,0.0,0.07197508533566126,0.0,0.0,0.0,0.0,0.0
SK,3.4343573379661705,0.0,1.1083747278471536,0.0,0.0,0.0,0.0,0.0,0.0
SI,2.3625720854548082,0.313636962506723,0.2463353411650367,0.0,0.0,0.0,0.0,0.0,0.0
ES,4.096063044010549,0.07201638289673143,0.778904235757716,0.1854946087861396,0.0,0.0,0.0,0.0,0.0
SE,1.9365171079195376,0.01575945865613048,2.5636200151733273,0.45580319438624234,0.16737780565412597,0.30366767281065277,0.0,0.1902196828311975,0.0
UA,0.0,8.351712389443371,0.0,0.5259945003686676,0.0,0.0,0.0,0.0,0.0
UK,2.1866229221725484,0.3062719007549161,0.8460244690712504,0.0,0.0,0.0,0.004079830152559292,0.0,0.0
